city,province,lat,long
Toronto,Ontario,43.7417,-79.3733
Montreal,Quebec,45.5089,-73.5617
Vancouver,British Columbia,49.25,-123.1
Calgary,Alberta,51.05,-114.0667
Edmonton,Alberta,53.5344,-113.4903
Ottawa,Ontario,45.4247,-75.695
Winnipeg,Manitoba,49.8844,-97.1464
Quebec City,Quebec,46.8139,-71.2081
Hamilton,Ontario,43.2567,-79.8692
Mississauga,Ontario,43.6,-79.65
Brampton,Ontario,43.6833,-79.7667
Surrey,British Columbia,49.19,-122.8489
Kitchener,Ontario,43.4186,-80.4728
Halifax,Nova Scotia,44.6475,-63.5906
Laval,Quebec,45.5833,-73.75
London,Ontario,42.9836,-81.2497
Victoria,British Columbia,48.4283,-123.3647
Markham,Ontario,43.8767,-79.2633
Oshawa,Ontario,43.9,-78.85
Vaughan,Ontario,43.8333,-79.5
Windsor,Ontario,42.2833,-83
Gatineau,Quebec,45.4833,-75.65
Saskatoon,Saskatchewan,52.1333,-106.6833
Longueuil,Quebec,45.5333,-73.5167
Burnaby,British Columbia,49.2667,-122.9667
St. Catharines,Ontario,43.1833,-79.2333
Regina,Saskatchewan,50.4547,-104.6067
Oakville,Ontario,43.45,-79.6833
Richmond,British Columbia,49.1667,-123.1333
Richmond Hill,Ontario,43.8667,-79.4333
Burlington,Ontario,43.3167,-79.8
St. John's,Newfoundland and Labrador,47.4817,-52.7971
Kelowna,British Columbia,49.8881,-119.4956
Sherbrooke,Quebec,45.4,-71.9
Sudbury,Ontario,46.49,-81.01
Barrie,Ontario,44.3711,-79.6769
Abbotsford,British Columbia,49.05,-122.3167
Levis,Quebec,46.8,-71.1833
Coquitlam,British Columbia,49.2839,-122.7919
Saguenay,Quebec,48.4167,-71.0667
Guelph,Ontario,43.55,-80.25
Trois-Rivieres,Quebec,46.35,-72.55
Whitby,Ontario,43.8833,-78.9417
Cambridge,Ontario,43.3972,-80.3114
Milton,Ontario,43.5083,-79.8833
Ajax,Ontario,43.8583,-79.0364
Waterloo,Ontario,43.4667,-80.5167
Terrebonne,Quebec,45.7,-73.6333
Moncton,New Brunswick,46.1328,-64.7714
Saanich,British Columbia,48.484,-123.381
White Rock,British Columbia,49.025,-122.8028
Thunder Bay,Ontario,48.3822,-89.2461
Delta,British Columbia,49.0847,-123.0586
Nanaimo,British Columbia,49.1642,-123.9364
Brantford,Ontario,43.1667,-80.25
Chatham,Ontario,42.4229,-82.1324
Clarington,Ontario,43.935,-78.6083
Saint-Jerome,Quebec,45.7833,-74
Red Deer,Alberta,52.2681,-113.8111
Pickering,Ontario,43.8354,-79.089
Lethbridge,Alberta,49.6942,-112.8328
Kamloops,British Columbia,50.6761,-120.3408
Saint-Jean-sur-Richelieu,Quebec,45.3167,-73.2667
Niagara Falls,Ontario,43.06,-79.1067
Cape Breton,Nova Scotia,46.1389,-60.1931
Chilliwack,British Columbia,49.1577,-121.9509
Brossard,Quebec,45.4667,-73.45
Maple Ridge,British Columbia,49.2167,-122.6
Newmarket,Ontario,44.05,-79.4667
Repentigny,Quebec,45.7333,-73.4667
Peterborough,Ontario,44.3,-78.3167
Drummondville,Quebec,45.8833,-72.4833
Kawartha Lakes,Ontario,44.35,-78.75
New Westminster,British Columbia,49.2069,-122.9111
Prince George,British Columbia,53.9169,-122.7494
Caledon,Ontario,43.8667,-79.8667
Chateauguay,Quebec,45.38,-73.75
Belleville,Ontario,44.1667,-77.3833
Airdrie,Alberta,51.2917,-114.0144
Sarnia,Ontario,42.9994,-82.3089
